"id","parent_id","model","foreign_key","alias","lft","rght"
1,NULL,NULL,NULL,"controllers",1,64
2,1,NULL,NULL,"Pages",2,5
3,2,NULL,NULL,"display",3,4
4,1,NULL,NULL,"Posts",6,19
5,4,NULL,NULL,"index",7,8
6,4,NULL,NULL,"manage",9,10
7,4,NULL,NULL,"view",11,12
8,4,NULL,NULL,"add",13,14
9,4,NULL,NULL,"edit",15,16
10,4,NULL,NULL,"delete",17,18
11,1,NULL,NULL,"Admin",20,63
12,11,NULL,NULL,"Groups",21,32
13,12,NULL,NULL,"index",22,23
14,12,NULL,NULL,"view",24,25
15,12,NULL,NULL,"add",26,27
16,12,NULL,NULL,"edit",28,29
17,12,NULL,NULL,"delete",30,31
18,11,NULL,NULL,"UserPermissions",33,42
19,18,NULL,NULL,"index",34,35
20,18,NULL,NULL,"sync",36,37
21,18,NULL,NULL,"edit",38,39
22,18,NULL,NULL,"toggle",40,41
23,11,NULL,NULL,"Users",43,62
24,23,NULL,NULL,"initDB",44,45
25,23,NULL,NULL,"login",46,47
26,23,NULL,NULL,"logout",48,49
27,23,NULL,NULL,"index",50,51
28,23,NULL,NULL,"view",52,53
29,23,NULL,NULL,"add",54,55
30,23,NULL,NULL,"edit",56,57
31,23,NULL,NULL,"delete",58,59
32,23,NULL,NULL,"toggle",60,61
